brand_norm;model_norm;version_norm;model_year;fipe_brand;fipe_model;fipe_code;score;match_source;first_seen;last_seen
chevrolet;tracker;tracker premier 1.2 turbo flex aut;2023;gm - chevrolet;tracker premier 1.2 turbo 12v flex aut.;004525-0;1.0;contains;2025-08-31;2025-10-15
chevrolet;tracker;tracker premier 1.2 turbo flex aut;2024;gm - chevrolet;tracker premier 1.2 turbo 12v flex aut.;004525-0;1.0;contains;2025-08-31;2025-10-15
chevrolet;tracker;tracker premier 1.2 turbo flex aut;2025;gm - chevrolet;tracker premier 1.2 turbo 12v flex aut.;004525-0;1.0;contains;2025-08-31;2025-10-15
chevrolet;tracker;tracker premier 1.2 turbo flex aut blindado;2022;gm - chevrolet;tracker premier 1.2 turbo 12v flex aut.;004525-0;0.8899;contains;2025-10-10;2025-10-15
chevrolet;tracker;tracker premier aut turbo 1.2 flex;2021;gm - chevrolet;tracker premier 1.2 turbo 12v flex aut.;004525-0;0.8971;contains;2025-08-25;2025-08-25
chevrolet;tracker;tracker premier aut turbo 1.2 flex;2023;gm - chevrolet;tracker premier 1.2 turbo 12v flex aut.;004525-0;0.8971;contains;2025-08-25;2025-09-15
chevrolet;tracker;tracker premier aut turbo 1.2 flex;2024;gm - chevrolet;tracker premier 1.2 turbo 12v flex aut.;004525-0;0.8971;contains;2025-08-25;2025-08-25
citroen;c3;c3 feel 1.0 flex mec;2023;citroën;c3 feel 1.0 flex 6v 5p mec.;011224-0;1.0;contains;2025-08-25;2025-10-15
citroen;c3;c3 feel 1.0 flex mec;2024;citroën;c3 feel 1.0 flex 6v 5p mec.;011224-0;1.0;contains;2025-08-25;2025-10-15
citroen;c3;c3 feel 1.0 flex mec;2025;citroën;c3 feel 1.0 flex 6v 5p mec.;011224-0;1.0;contains;2025-10-06;2025-10-15
citroen;c3;c3 feel pack 1.6 flex aut;2023;citroën;c3 feel pack 1.6 flex 16v 5p aut.;011226-7;1.0;contains;2025-08-25;2025-08-31
citroen;c3;c3 feel pack 1.6 flex aut;2024;citroën;c3 feel pack 1.6 flex 16v 5p aut.;011226-7;1.0;contains;2025-08-31;2025-10-15
citroen;c3;c3 live 1.0 flex mec;2024;citroën;c3 live 1.0 flex 6v 5p mec.;011222-4;1.0;contains;2025-08-25;2025-10-15
citroen;c3;c3 live pack 1.0 flex mec;2023;citroën;c3 live pack 1.0 flex 6v 5p mec.;011223-2;1.0;contains;2025-08-25;2025-10-15
citroen;c3;c3 live pack 1.0 flex mec;2024;citroën;c3 live pack 1.0 flex 6v 5p mec.;011223-2;1.0;contains;2025-08-25;2025-10-15
citroen;c3;c3 live pack 1.0 flex mec;2025;citroën;c3 live pack 1.0 flex 6v 5p mec.;011223-2;1.0;contains;2025-08-25;2025-10-15
citroen;c3 aircross;c3 aircross feel pack turbo flex aut 1.0;2025;citroën;c3 aircross feel 1.0 flex turbo 200 aut.;011232-1;0.7725;contains;2025-08-25;2025-10-15
citroen;c3 aircross;c3 aircross shine turbo flex aut 1.0;2025;citroën;c3 aircross shine 1.0 flex tb 200 aut.;011230-5;0.8234;contains;2025-09-26;2025-10-15
citroen;c4;c4 cactus feel 1.6 flex aut;2022;citroën;c4 cactus feel 1.6 16v flex aut.;011198-8;1.0;contains;2025-09-15;2025-10-15
citroen;c4;c4 cactus feel 1.6 flex aut;2023;citroën;c4 cactus feel 1.6 16v flex aut.;011198-8;1.0;contains;2025-08-25;2025-10-15
citroen;c4;c4 cactus feel pack 1.6 flex aut;2022;citroën;c4 cactus feel pack 1.6 16v flex aut.;011197-0;1.0;contains;2025-09-26;2025-10-10
citroen;c4;c4 cactus feel pack 1.6 flex aut;2023;citroën;c4 cactus feel pack 1.6 16v flex aut.;011197-0;1.0;contains;2025-08-25;2025-10-15
citroen;c4;c4 cactus feel pack 1.6 flex aut;2024;citroën;c4 cactus feel pack 1.6 16v flex aut.;011197-0;1.0;contains;2025-08-25;2025-10-15
citroen;jumpy;jumpy cargo 6.1m 1.5 turbo diesel mec;2023;citroën;jumpy cargo 1.5 turbo diesel;011216-0;0.8236;contains;2025-09-26;2025-09-26
citroen;jumpy;jumpy cargo 6.1m 1.5 turbo diesel mec;2024;citroën;jumpy cargo 1.5 turbo diesel;011216-0;0.8236;contains;2025-08-31;2025-10-15
fiat;500e;500e icon 42kw eletrico aut;2022;fiat;500e icon (elétrico);001541-5;0.745;contains;2025-09-26;2025-10-15
fiat;argo;argo 1.0 flex mec;2022;fiat;argo 1.0 6v flex;001509-1;0.8405;contains;2025-08-25;2025-10-15
fiat;argo;argo 1.0 flex mec;2023;fiat;argo 1.0 6v flex;001509-1;0.8405;contains;2025-08-25;2025-10-15
fiat;argo;argo 1.0 flex mec;2024;fiat;argo 1.0 6v flex;001509-1;0.8405;contains;2025-08-25;2025-10-15
