snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11406874;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Porto Alegre;RS;;Porto Alegre Ipiranga;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11406806;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11406839;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Av. das Américas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400147;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;52300;Brasília;DF;;Brasília SIA;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400229;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;52700;São Paulo;SP;;São Paulo Gastão Vidigal;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395957;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52800;Manaus;AM;;Manaus;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403693;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52800;Juiz de Fora;MG;;Juiz de Fora;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404468;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52800;Juiz de Fora;MG;;Juiz de Fora;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404616;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;52800;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388114;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Duque de Caxias;RJ;;Rio de Janeiro Duque de Caxias;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388402;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Vila Valqueire;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388643;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Contagem;MG;;Contagem Babita Camargo;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388697;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Duque de Caxias;RJ;;Rio de Janeiro Duque de Caxias;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389176;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Sorocaba;SP;;Sorocaba Dom Aguirre;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389291;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Contagem;MG;;Contagem Babita Camargo;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11390238;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Bernardo do Campo;SP;;São Bernardo Pereira Barreto;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11393413;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Intendente Magalhães;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11394795;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395449;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Bernardo do Campo;SP;;São Bernardo Pereira Barreto;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395563;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Vila Ema;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395579;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Vila Ema;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395598;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
